Date,Open,Close,High,Low
2013-09-11,1.3312,1.3268,1.3324,1.3242
2013-09-10,1.3269,1.3253,1.3275,1.3229
2013-09-09,1.3255,1.3168,1.328,1.3158
2013-09-06,1.318,1.3118,1.3188,1.3103
2013-09-05,1.312,1.3206,1.3222,1.3109
2013-09-04,1.3209,1.3169,1.3218,1.3155
2013-09-03,1.317,1.319,1.3197,1.3137
2013-09-02,1.3192,1.3232,1.3236,1.3182
2013-08-30,1.3222,1.324,1.3254,1.3172
2013-08-29,1.3241,1.3338,1.3343,1.3218
2013-08-28,1.334,1.3391,1.3397,1.3304
2013-08-27,1.3393,1.3367,1.3399,1.3323
2013-08-26,1.3369,1.3381,1.3394,1.3355
2013-08-23,1.3382,1.3355,1.3409,1.3332
2013-08-22,1.3356,1.3353,1.3373,1.3297
2013-08-21,1.3357,1.3415,1.3427,1.3334
2013-08-20,1.3417,1.3335,1.3452,1.3322
2013-08-19,1.3335,1.3326,1.3374,1.3314
2013-08-16,1.333,1.3346,1.3379,1.331
2013-08-15,1.3348,1.3254,1.3363,1.3205
2013-08-14,1.3256,1.3261,1.3278,1.3238
2013-08-13,1.3262,1.3298,1.3316,1.3232
2013-08-12,1.33,1.3338,1.3343,1.3276
2013-08-09,1.3343,1.3379,1.339,1.3332
2013-08-08,1.3381,1.3336,1.34,1.3326
2013-08-07,1.3337,1.3305,1.3345,1.3264
2013-08-06,1.3307,1.3257,1.3323,1.3244
2013-08-05,1.3258,1.3273,1.33,1.3231
2013-08-02,1.3282,1.3205,1.3294,1.3188
2013-08-01,1.3207,1.33,1.331,1.3196
2013-07-31,1.3302,1.3262,1.3344,1.3213
2013-07-30,1.3263,1.3261,1.3301,1.3233
2013-07-29,1.3262,1.3273,1.3295,1.3238
2013-07-26,1.3279,1.3276,1.3296,1.3251
2013-07-25,1.3277,1.3198,1.3295,1.3164
2013-07-24,1.32,1.3222,1.3256,1.3176
2013-07-23,1.3223,1.3184,1.3238,1.3162
2013-07-22,1.3186,1.3139,1.3218,1.3128
2013-07-19,1.3142,1.3109,1.3153,1.3087
2013-07-18,1.311,1.3124,1.3127,1.3065
2013-07-17,1.3125,1.316,1.3176,1.3083
2013-07-16,1.3162,1.3061,1.3174,1.3051
2013-07-15,1.3062,1.3065,1.3084,1.2993
2013-07-12,1.3068,1.3095,1.3101,1.2998
2013-07-11,1.3096,1.2977,1.3201,1.2962
2013-07-10,1.2976,1.2779,1.2983,1.2763
2013-07-09,1.2781,1.2869,1.2898,1.2754
2013-07-08,1.287,1.2824,1.2882,1.2808
2013-07-05,1.2832,1.2912,1.2916,1.2805
2013-07-04,1.2913,1.3008,1.3023,1.2882
2013-07-03,1.3009,1.2976,1.303,1.2921
